CAMPUS,C20GP15R,C20GV15R,C2CRB15R,C30GP15R,C30GV15R,C3CRB15R,C40GP15R,C40GV15R,C4CRB15R,CA0GP15R,CA0GV15R,CACRB15R,CB0GP15R,CB0GV15R,CBCRB15R,CE0GP15R,CE0GV15R,CECRB15R,CF0GP15R,CF0GV15R,CFCRB15R,CH0GP15R,CH0GV15R,CHCRB15R,CI0GP15R,CI0GV15R,CICRB15R,CL0GP15R,CL0GV15R,CLCRB15R,CM0GP15R,CM0GV15R,CMCRB15R,CR0GP15R,CR0GV15R,CRCRB15R,CS0GP15R,CS0GV15R,CSCRB15R,CW0GP15R,CW0GV15R,CWCRB15R
101838104,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
101840101,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
101840102,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
101840103,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
101842001,.,.,.,.,.,.,.,.,.,100,100,.,-1,-1,.,100,100,.,100,100,.,100,100,.,.,.,.,.,.,.,100,100,.,100,100,.,.,.,.,100,100,.
101845001,.,.,.,.,.,.,.,.,.,98,0,57,.,.,.,97.2,0,56,98.2,0,63,98,0,56,.,.,.,-1,-1,-1,97.7,0,49,94.1,0,18,-1,-1,-1,-1,-1,-1
101845002,.,.,.,-1,-1,-1,.,.,.,93.8,0,54,91.7,0,45,92.1,0,46,95.3,0,50,94.1,0,55,.,.,.,.,.,.,92.1,0,58,75,0,33,-1,-1,-1,.,.,.
101845003,.,.,.,.,.,.,.,.,.,96,0,28,-1,-1,-1,94.9,0,32,95.6,0,24,95.9,0,29,.,.,.,.,.,.,96.3,0,31,91.9,0,19,100,0,17,.,.,.
101845004,.,.,.,-1,-1,-1,.,.,.,82,0,26,85.7,0,57,81.3,0,25,74.5,0,22,81.3,0,21,.,.,.,-1,-1,.,92.1,0,31,53.3,0,0,40,0,-1,.,.,.
101845005,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
101845006,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
101845007,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
101845008,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
101845009,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
101845010,.,.,.,.,.,.,.,.,.,90,0,27,91.7,0,17,89.3,0,25,80,0,7,88.9,0,33,.,.,.,.,.,.,100,0,47,81.3,0,13,-1,-1,-1,.,.,.
101845011,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
