CAMPUS,C20GP15R,C20GV15R,C2CRB15R,C30GP15R,C30GV15R,C3CRB15R,C40GP15R,C40GV15R,C4CRB15R,CA0GP15R,CA0GV15R,CACRB15R,CB0GP15R,CB0GV15R,CBCRB15R,CE0GP15R,CE0GV15R,CECRB15R,CF0GP15R,CF0GV15R,CFCRB15R,CH0GP15R,CH0GV15R,CHCRB15R,CI0GP15R,CI0GV15R,CICRB15R,CL0GP15R,CL0GV15R,CLCRB15R,CM0GP15R,CM0GV15R,CMCRB15R,CR0GP15R,CR0GV15R,CRCRB15R,CS0GP15R,CS0GV15R,CSCRB15R,CW0GP15R,CW0GV15R,CWCRB15R
101902104,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
101902105,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
101902106,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
101902107,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
101902108,.,.,.,.,.,.,.,.,.,0,0,.,0,0,.,0,0,.,0,0,.,0,0,.,.,.,.,-1,-1,.,0,0,.,0,0,.,0,0,.,-1,-1,.
101902109,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
101902110,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
101902111,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
101902112,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
101902113,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
101902114,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
