NAME,LABEL
CF00AR2B513R ,"Female, EOC Reading II Rate "
CF00AR3B513R ,"Female, EOC Reading III Rate "
CF00AUSB513R ,"Female, EOC US History Rate "
CF00AWGB513R ,"Female, EOC World Geography Rate "
CF00AWHB513R ,"Female, EOC World History Rate "
CF00AW1B513R ,"Female, EOC Writing I Rate "
CF00AW2B513R ,"Female, EOC Writing II Rate "
CF00AW3B513R ,"Female, EOC Writing III Rate "
CH00AA1B513R ,"Hispanic, EOC Algebra I Rate "
CH00AA2B513R ,"Hispanic, EOC Algebra II Rate "
CH00ABIB513R ,"Hispanic, EOC Biology Rate "
CH00ACHB513R ,"Hispanic, EOC Chemistry Rate "
CH00AGEB513R ,"Hispanic, EOC Geometry Rate "
CH00APHB513R ,"Hispanic, EOC Physics Rate "
CH00AR1B513R ,"Hispanic, EOC Reading I Rate "
CH00AR2B513R ,"Hispanic, EOC Reading II Rate "
CH00AR3B513R ,"Hispanic, EOC Reading III Rate "
CH00AUSB513R ,"Hispanic, EOC US History Rate "
CH00AWGB513R ,"Hispanic, EOC World Geography Rate "
CH00AWHB513R ,"Hispanic, EOC World History Rate "
CH00AW1B513R ,"Hispanic, EOC Writing I Rate "
CH00AW2B513R ,"Hispanic, EOC Writing II Rate "
CH00AW3B513R ,"Hispanic, EOC Writing III Rate "
CM00AA1B513R ,"Male, EOC Algebra I Rate "
CM00AA2B513R ,"Male, EOC Algebra II Rate "
CM00ABIB513R ,"Male, EOC Biology Rate "
CM00ACHB513R ,"Male, EOC Chemistry Rate "
CM00AGEB513R ,"Male, EOC Geometry Rate "
CM00APHB513R ,"Male, EOC Physics Rate "
CM00AR1B513R ,"Male, EOC Reading I Rate "
CM00AR2B513R ,"Male, EOC Reading II Rate "
CM00AR3B513R ,"Male, EOC Reading III Rate "
CM00AUSB513R ,"Male, EOC US History Rate "
CM00AWGB513R ,"Male, EOC World Geography Rate "
CM00AWHB513R ,"Male, EOC World History Rate "
CM00AW1B513R ,"Male, EOC Writing I Rate "
CM00AW2B513R ,"Male, EOC Writing II Rate "
CM00AW3B513R ,"Male, EOC Writing III Rate "
CG00AA1B513R ,"Migrant, EOC Algebra I Rate "
CG00AA2B513R ,"Migrant, EOC Algebra II Rate "
CG00ABIB513R ,"Migrant, EOC Biology Rate "
CG00ACHB513R ,"Migrant, EOC Chemistry Rate "
CG00AGEB513R ,"Migrant, EOC Geometry Rate "
CG00APHB513R ,"Migrant, EOC Physics Rate "
CG00AR1B513R ,"Migrant, EOC Reading I Rate "
CG00AR2B513R ,"Migrant, EOC Reading II Rate "
CG00AR3B513R ,"Migrant, EOC Reading III Rate "
CG00AUSB513R ,"Migrant, EOC US History Rate "
CG00AWGB513R ,"Migrant, EOC World Geography Rate "
CG00AWHB513R ,"Migrant, EOC World History Rate "
CG00AW1B513R ,"Migrant, EOC Writing I Rate "
CG00AW2B513R ,"Migrant, EOC Writing II Rate "
CG00AW3B513R ,"Migrant, EOC Writing III Rate "
C700AA1B513R ,"Non-At Risk, EOC Algebra I Rate "
C700AA2B513R ,"Non-At Risk, EOC Algebra II Rate "
C700ABIB513R ,"Non-At Risk, EOC Biology Rate "
C700ACHB513R ,"Non-At Risk, EOC Chemistry Rate "
C700AGEB513R ,"Non-At Risk, EOC Geometry Rate "
C700APHB513R ,"Non-At Risk, EOC Physics Rate "
C700AR1B513R ,"Non-At Risk, EOC Reading I Rate "
C700AR2B513R ,"Non-At Risk, EOC Reading II Rate "
C700AR3B513R ,"Non-At Risk, EOC Reading III Rate "
C700AUSB513R ,"Non-At Risk, EOC US History Rate "
C700AWGB513R ,"Non-At Risk, EOC World Geography Rate "
C700AWHB513R ,"Non-At Risk, EOC World History Rate "
C700AW1B513R ,"Non-At Risk, EOC Writing I Rate "
C700AW2B513R ,"Non-At Risk, EOC Writing II Rate "
C700AW3B513R ,"Non-At Risk, EOC Writing III Rate "
CN00AA1B513R ,"Non-Econ Disadv, EOC Algebra I Rate "
CN00AA2B513R ,"Non-Econ Disadv, EOC Algebra II Rate "
CN00ABIB513R ,"Non-Econ Disadv, EOC Biology Rate "
CN00ACHB513R ,"Non-Econ Disadv, EOC Chemistry Rate "
CN00AGEB513R ,"Non-Econ Disadv, EOC Geometry Rate "
CN00APHB513R ,"Non-Econ Disadv, EOC Physics Rate "
CN00AR1B513R ,"Non-Econ Disadv, EOC Reading I Rate "
CN00AR2B513R ,"Non-Econ Disadv, EOC Reading II Rate "
CN00AR3B513R ,"Non-Econ Disadv, EOC Reading III Rate "
CN00AUSB513R ,"Non-Econ Disadv, EOC US History Rate "
CN00AWGB513R ,"Non-Econ Disadv, EOC World Geography Rate "
CN00AWHB513R ,"Non-Econ Disadv, EOC World History Rate "
CN00AW1B513R ,"Non-Econ Disadv, EOC Writing I Rate "
CN00AW2B513R ,"Non-Econ Disadv, EOC Writing II Rate "
CN00AW3B513R ,"Non-Econ Disadv, EOC Writing III Rate "
C900AA1B513R ,"Non-Migrant, EOC Algebra I Rate "
C900AA2B513R ,"Non-Migrant, EOC Algebra II Rate "
C900ABIB513R ,"Non-Migrant, EOC Biology Rate "
C900ACHB513R ,"Non-Migrant, EOC Chemistry Rate "
C900AGEB513R ,"Non-Migrant, EOC Geometry Rate "
C900APHB513R ,"Non-Migrant, EOC Physics Rate "
C900AR1B513R ,"Non-Migrant, EOC Reading I Rate "
C900AR2B513R ,"Non-Migrant, EOC Reading II Rate "
C900AR3B513R ,"Non-Migrant, EOC Reading III Rate "
C900AUSB513R ,"Non-Migrant, EOC US History Rate "
C900AWGB513R ,"Non-Migrant, EOC World Geography Rate "
C900AWHB513R ,"Non-Migrant, EOC World History Rate "
C900AW1B513R ,"Non-Migrant, EOC Writing I Rate "
C900AW2B513R ,"Non-Migrant, EOC Writing II Rate "
C900AW3B513R ,"Non-Migrant, EOC Writing III Rate "
C400AA1B513R ,"Pacific Islander, EOC Algebra I Rate "
C400AA2B513R ,"Pacific Islander, EOC Algebra II Rate "
C400ABIB513R ,"Pacific Islander, EOC Biology Rate "
C400ACHB513R ,"Pacific Islander, EOC Chemistry Rate "
C400AGEB513R ,"Pacific Islander, EOC Geometry Rate "
C400APHB513R ,"Pacific Islander, EOC Physics Rate "
C400AR1B513R ,"Pacific Islander, EOC Reading I Rate "
C400AR2B513R ,"Pacific Islander, EOC Reading II Rate "
C400AR3B513R ,"Pacific Islander, EOC Reading III Rate "
C400AUSB513R ,"Pacific Islander, EOC US History Rate "
C400AWGB513R ,"Pacific Islander, EOC World Geography Rate "
C400AWHB513R ,"Pacific Islander, EOC World History Rate "
C400AW1B513R ,"Pacific Islander, EOC Writing I Rate "
C400AW2B513R ,"Pacific Islander, EOC Writing II Rate "
C400AW3B513R ,"Pacific Islander, EOC Writing III Rate "
CS00AA1B513R ,"Special Ed, EOC Algebra I Rate "
CS00AA2B513R ,"Special Ed, EOC Algebra II Rate "
CS00ABIB513R ,"Special Ed, EOC Biology Rate "
CS00ACHB513R ,"Special Ed, EOC Chemistry Rate "
CS00AGEB513R ,"Special Ed, EOC Geometry Rate "
CS00APHB513R ,"Special Ed, EOC Physics Rate "
CS00AR1B513R ,"Special Ed, EOC Reading I Rate "
CS00AR2B513R ,"Special Ed, EOC Reading II Rate "
CS00AR3B513R ,"Special Ed, EOC Reading III Rate "
CS00AUSB513R ,"Special Ed, EOC US History Rate "
CS00AWGB513R ,"Special Ed, EOC World Geography Rate "
CS00AWHB513R ,"Special Ed, EOC World History Rate "
CS00AW1B513R ,"Special Ed, EOC Writing I Rate "
CS00AW2B513R ,"Special Ed, EOC Writing II Rate "
CS00AW3B513R ,"Special Ed, EOC Writing III Rate "
C200AA1B513R ,"Two or More Races, EOC Algebra I Rate "
C200AA2B513R ,"Two or More Races, EOC Algebra II Rate "
C200ABIB513R ,"Two or More Races, EOC Biology Rate "
C200ACHB513R ,"Two or More Races, EOC Chemistry Rate "
C200AGEB513R ,"Two or More Races, EOC Geometry Rate "
C200APHB513R ,"Two or More Races, EOC Physics Rate "
